words,index,frequency,abstracts
european,0,1,1
europes,0,1,1
tripler,0,1,1
gev,0,12,7
z,0,5,4
bs,0,2,1
despite,0,2,2
acquisition,0,1,1
daq,0,2,1
electromagnetic,0,2,2
r,0,3,3
java,0,1,1
cleo,0,1,1
cornell,0,1,1
na,0,1,1
doppler,0,1,1
ev,0,1,1
wide,0,4,4
quantitative,0,1,1
k,0,6,3
sks,0,1,1
ge,0,1,1
intensity,0,8,6
bose,0,5,2
einstein,0,3,2
bec,0,5,1
moreover,0,2,2
furthermore,0,3,3
last,0,4,4
kamiokande,0,1,1
kamland,0,1,1
earth,0,2,2
stimulated,0,2,2
pvd,0,3,1
because,0,2,2
dc,0,1,1
mtorr,0,1,1
roadmap,0,2,1
cosmic,0,7,4
cmbr,0,3,1
q,0,11,5
turning,0,1,1
qcd,0,12,5
chiral,0,6,4
su,0,3,3
sum,0,5,3
rules,0,5,4
mssm,0,2,1
h,0,2,1
sm,0,1,1
babar,0,2,1
v,0,4,2
tesla,0,1,1
gigaz,0,1,1
likewise,0,1,1
deltam,0,1,1
mev,0,6,5
similarly,0,1,1
ags,0,1,1
rhic,0,3,2
macro,0,1,1
gran,0,1,1
sasso,0,1,1
dna,0,4,2
dodetector,0,1,1
projections,0,1,1
richard,0,2,1
pratt,0,3,2
nbs,0,1,1
nist,0,1,1
society,0,1,1
irps,0,4,1
symposium,0,1,1
isrp,0,2,1
ferrara,0,1,1
italy,0,1,1
secretariat,0,1,1
university,0,2,2
pittsburgh,0,1,1
calcutta,0,1,1
semi,0,4,4
osp,0,2,1
n,0,9,4
lorentz,0,1,1
penrose,0,1,1
ferber,0,1,1
primakoff,0,1,1
andrew,0,1,1
keller,0,1,1
bristol,0,1,1
lfv,0,2,1
prism,0,1,1
japan,0,1,1
sturmian,0,1,1
floquet,0,2,1
schrodinger,0,1,1
magnetoelasticity,0,1,1
psik,0,1,1
simultaneously,0,1,1
entropic,0,1,1
leu,0,1,1
tsallis,0,1,1
alzheimer,0,1,1
ii,0,3,2
andreev,0,1,1
hall,0,1,1
slc,0,1,1
explicit,0,1,1
isr,0,3,1
aleph,0,3,1
cosmoaleph,0,2,1
extensive,0,1,1
showers,0,1,1
eas,0,1,1
layout,0,1,1
vi,0,2,1
prof,0,1,1
he,0,3,1
maxwellian,0,1,1
de,0,2,1
slac,0,1,1
hermes,0,2,2
desy,0,2,1
bnl,0,1,1
hera,0,4,2
lo,0,1,1
nlo,0,1,1
dis,0,1,1
u,0,3,2
goldberger,0,1,1
treiman,0,1,1
burkhardt,0,1,1
cottingham,0,1,1
altarelli,0,1,1
parisi,0,1,1
ams,0,2,1
mv,0,1,1
national,0,1,1
institute,0,1,1
bucharest,0,1,1
romania,0,1,1
wien,0,1,1
fzk,0,1,1
necessary,0,5,4
iaea,0,1,1
ads,0,2,1
lsnd,0,1,1
chromodynamics,0,1,1
curie,0,1,1
effort,0,1,1
harnessing,0,1,1
house,0,1,1
bernstein,0,1,1
binder,0,1,1
l,0,3,2
borexino,0,1,1
hellaz,0,1,1
lama,0,1,1
deltadelta,0,3,1
deltan,0,2,1
fermi,0,1,1
signals,0,1,1
bfkl,0,1,1
astrophysical,0,1,1
nambu,0,1,1
goldstone,0,1,1
deltat,0,15,1
levy,0,2,1
rmt,0,5,1
thus,0,1,1
lagrangians,0,1,1
kpil,0,1,1
notwithstanding,0,1,1
italian,0,1,1
accelerometer,0,2,1
isa,0,4,1
hz,0,3,1
equivalence,0,1,1
biological,0,4,1
world,0,1,1
war,0,1,1
performing,0,1,1
dcs,0,4,1
mcs,0,5,1
functionality,0,1,1
science,0,2,1
lns,0,2,1
tohoku,0,2,1
stb,0,3,1
